"","codigo","Pais","Año","vida_nacer","vida_60","salud_nacer","salud_60"
"1","LSO","Lesotho",2019,50.75,13.43,"44.2","9.8"
"2","CAF","Central African Republic",2019,53.1,13.17,"46.4","10.0"
"3","SOM","Somalia",2019,56.47,14.54,"49.7","11.2"
"4","SWZ","Eswatini",2019,57.73,15.1,"50.1","11.0"
"5","MOZ","Mozambique",2019,58.14,15.8,"50.4","11.6"
"6","KIR","Kiribati",2019,59.42,13.69,"52.6","10.3"
"7","TCD","Chad",2019,59.63,16.54,"52.0","12.3"
"8","GNB","Guinea-Bissau",2019,60.22,15.5,"52.6","11.4"
"9","ZWE","Zimbabwe",2019,60.68,15.55,"53.1","11.5"
"10","SLE","Sierra Leone",2019,60.77,16.99,"52.9","12.6"
"11","GIN","Guinea",2019,61.01,16.54,"53.3","12.3"
"12","BWA","Botswana",2019,62.25,16.25,"53.9","11.8"
"13","GNQ","Equatorial Guinea",2019,62.19,17.64,"53.9","12.9"
"14","CMR","Cameroon",2019,62.36,17.09,"54.5","12.8"
"15","COD","Democratic Republic of the Congo",2019,62.35,16.63,"54.1","12.5"
"16","ZMB","Zambia",2019,62.45,16.53,"54.4","12.6"
"17","NGA","Nigeria",2019,62.62,18.24,"54.4","13.5"
"18","BFA","Burkina Faso",2019,62.7,16.82,"54.9","12.6"
"19","MLI","Mali",2019,62.8,17.46,"54.6","12.8"
"20","SSD","South Sudan",2019,62.79,17.79,"53.7","12.7"
"21","CIV","Cote d'Ivoire",2019,62.92,17.08,"54.8","12.7"
"22","FSM","Micronesia (Federated States of)",2019,63.03,14.7,"56.0","11.1"
"23","AGO","Angola",2019,63.06,16.98,"54.8","12.6"
"24","AFG","Afghanistan",2019,63.21,15.21,"53.9","10.8"
"25","NER","Niger",2019,63.29,17.19,"55.5","13.0"
"26","BEN","Benin",2019,63.43,17.4,"55.5","13.0"
"27","BDI","Burundi",2019,63.84,16.47,"55.6","12.7"
"28","ERI","Eritrea",2019,64.08,15.5,"55.7","11.4"
"29","HTI","Haiti",2019,64.05,16.77,"55.8","12.8"
"30","LBR","Liberia",2019,64.08,17.75,"54.9","12.9"
"31","TGO","Togo",2019,64.27,17.03,"56.2","12.8"
"32","NAM","Namibia",2019,64.58,17.24,"56.1","12.7"
"33","COG","Congo",2019,64.74,16.45,"56.2","12.2"
"34","SLB","Solomon Islands",2019,65.25,15.47,"57.8","11.8"
"35","MDG","Madagascar",2019,65.35,16.76,"57.3","12.6"
"36","PNG","Papua New Guinea",2019,65.3,16.48,"57.1","12.3"
"37","ZAF","South Africa",2019,65.25,19.12,"56.2","13.9"
"38","VUT","Vanuatu",2019,65.31,15.68,"57.8","11.9"
"39","GMB","Gambia",2019,65.47,16.85,"57.0","12.6"
"40","MWI","Malawi",2019,65.62,17.24,"57.1","12.8"
"41","PAK","Pakistan",2019,65.61,17.26,"56.9","12.6"
"42","GUY","Guyana",2019,65.69,16.55,"57.2","12.5"
"43","DJI","Djibouti",2019,65.81,17.76,"58.0","13.6"
"44","KEN","Kenya",2019,66.09,17.64,"57.7","13.1"
"45","GHA","Ghana",2019,66.28,17.25,"58.0","12.9"
"46","GAB","Gabon",2019,66.47,17.17,"57.6","12.8"
"47","YEM","Yemen",2019,66.63,17.77,"57.5","13.3"
"48","UGA","Uganda",2019,66.69,17.7,"58.2","13.4"
"49","TZA","United Republic of Tanzania",2019,67.34,18.16,"58.5","13.4"
"50","COM","Comoros",2019,67.39,18.13,"58.9","13.7"
"51","FJI","Fiji",2019,68.01,16.18,"59.6","11.8"
"52","MNG","Mongolia",2019,68.1,16.41,"60.3","12.6"
"53","MRT","Mauritania",2019,68.38,18.98,"59.8","14.3"
"54","LAO","Lao People's Democratic Republic",2019,68.51,17.65,"60.5","13.3"
"55","SEN","Senegal",2019,68.58,18.15,"59.4","13.1"
"56","ETH","Ethiopia",2019,68.7,18.45,"59.9","13.9"
"57","MMR","Myanmar",2019,69.13,18.06,"60.9","13.6"
"58","RWA","Rwanda",2019,69.1,18.02,"60.2","13.6"
"59","SDN","Sudan",2019,69.15,18.64,"59.9","13.6"
"60","TJK","Tajikistan",2019,69.5,16.12,"62.0","12.7"
"61","TLS","Timor-Leste",2019,69.62,17.9,"60.9","13.2"
"62","TKM","Turkmenistan",2019,69.75,18.74,"62.1","14.7"
"63","KHM","Cambodia",2019,70.12,17.74,"61.5","13.2"
"64","PHL","Philippines",2019,70.43,17.77,"62.0","13.4"
"65","STP","Sao Tome and Principe",2019,70.42,17.73,"61.6","13.1"
"66","WSM","Samoa",2019,70.45,17.86,"62.1","13.4"
"67","IND","India",2019,70.79,18.82,"60.3","13.2"
"68","NPL","Nepal",2019,70.88,18.01,"61.3","13.3"
"69","IDN","Indonesia",2019,71.31,17.94,"62.8","13.4"
"70","AZE","Azerbaijan",2019,71.43,17.06,"63.6","13.4"
"71","SUR","Suriname",2019,71.48,18.46,"62.4","14.1"
"72","EGY","Egypt",2019,71.82,17.83,"63.0","13.4"
"73","HND","Honduras",2019,71.94,18.35,"63.0","13.8"
"74","GTM","Guatemala",2019,72.02,20.47,"62.3","15.0"
"75","BOL","Bolivia (Plurinational State of)",2019,72.14,18.56,"63.3","14.2"
"76","IRQ","Iraq",2019,72.42,19.18,"62.7","14.2"
"77","PRK","Democratic People's Republic of Korea",2019,72.63,19.1,"65.0","14.9"
"78","TON","Tonga",2019,72.57,19.03,"64.0","14.5"
"79","SYR","Syrian Arab Republic",2019,72.67,18.72,"62.9","13.9"
"80","DOM","Dominican Republic",2019,72.84,20.65,"64.0","16.0"
"81","GRD","Grenada",2019,72.88,18.73,"63.9","14.3"
"82","MAR","Morocco",2019,72.99,18.67,"63.7","14.1"
"83","UKR","Ukraine",2019,73.02,19.49,"64.3","15.0"
"84","UZB","Uzbekistan",2019,73.01,18.64,"64.7","14.5"
"85","BTN","Bhutan",2019,73.11,19.36,"63.4","14.5"
"86","BHS","Bahamas",2019,73.21,20.84,"64.4","16.2"
"87","RUS","Russian Federation",2019,73.23,19.93,"64.2","15.0"
"88","VCT","Saint Vincent and the Grenadines",2019,73.22,20.87,"64.0","15.9"
"89","GEO","Georgia",2019,73.28,18.76,"64.7","14.4"
"90","MDA","Republic of Moldova",2019,73.26,19.02,"64.5","14.6"
"91","SYC","Seychelles",2019,73.34,19.5,"64.0","14.1"
"92","VNM","Viet Nam",2019,73.74,19.6,"65.3","14.8"
"93","OMN","Oman",2019,73.9,17.8,"64.7","13.2"
"94","VEN","Venezuela (Bolivarian Republic of)",2019,73.95,21.69,"64.4","16.3"
"95","CPV","Cabo Verde",2019,74.03,19.66,"64.8","14.9"
"96","KAZ","Kazakhstan",2019,73.95,19.46,"65.0","14.8"
"97","MUS","Mauritius",2019,74.07,20.29,"63.9","14.5"
"98","KGZ","Kyrgyzstan",2019,74.18,20.01,"65.8","15.7"
"99","BGD","Bangladesh",2019,74.25,20.86,"64.3","15.5"
"100","BRN","Brunei Darussalam",2019,74.32,19.17,"65.6","14.5"
"101","LCA","Saint Lucia",2019,74.33,20.91,"64.7","15.8"
"102","SAU","Saudi Arabia",2019,74.31,19.9,"64.0","14.0"
"103","BLZ","Belize",2019,74.41,21.53,"65.3","16.7"
"104","MYS","Malaysia",2019,74.72,19.5,"65.7","14.6"
"105","BLR","Belarus",2019,74.81,19.72,"66.0","15.1"
"106","MKD","North Macedonia",2019,74.82,18.33,"66.1","14.0"
"107","SLV","El Salvador",2019,75.03,22.12,"64.9","16.4"
"108","NIC","Nicaragua",2019,75.04,20.03,"65.5","15.1"
"109","BGR","Bulgaria",2019,75.07,19.82,"66.3","15.2"
"110","LVA","Latvia",2019,75.38,20.53,"66.2","15.6"
"111","ROU","Romania",2019,75.57,20.25,"66.8","15.7"
"112","BHR","Bahrain",2019,75.81,19.01,"65.9","13.8"
"113","LBY","Libya",2019,75.78,21.26,"65.2","15.5"
"114","PRY","Paraguay",2019,75.81,21.78,"65.8","16.5"
"115","BRA","Brazil",2019,75.9,21.9,"65.4","16.4"
"116","MNE","Montenegro",2019,75.88,19.44,"67.0","14.9"
"117","SRB","Serbia",2019,75.87,19.58,"66.9","14.9"
"118","ARM","Armenia",2019,76.03,20.41,"67.1","15.7"
"119","BRB","Barbados",2019,76.03,20.92,"67.0","16.3"
"120","JAM","Jamaica",2019,75.98,21.32,"66.6","16.4"
"121","LTU","Lithuania",2019,75.99,20.93,"66.7","15.9"
"122","MEX","Mexico",2019,76.01,21.84,"65.8","16.1"
"123","TTO","Trinidad and Tobago",2019,76.13,22.72,"66.2","17.2"
"124","ARE","United Arab Emirates",2019,76.08,19.92,"66.0","14.5"
"125","HUN","Hungary",2019,76.44,20.22,"67.2","15.3"
"126","LBN","Lebanon",2019,76.44,20.53,"66.0","15.0"
"127","ATG","Antigua and Barbuda",2019,76.45,20.59,"67.0","15.8"
"128","ARG","Argentina",2019,76.58,21.11,"67.1","16.3"
"129","BIH","Bosnia and Herzegovina",2019,76.75,20.16,"67.2","15.2"
"130","LKA","Sri Lanka",2019,76.87,20.76,"67.0","15.3"
"131","TUN","Tunisia",2019,77.04,21.54,"66.9","16.0"
"132","DZA","Algeria",2019,77.13,22.04,"66.4","16.0"
"133","URY","Uruguay",2019,77.1,21.67,"67.5","16.6"
"134","QAT","Qatar",2019,77.17,19.5,"67.1","14.2"
"135","IRN","Iran (Islamic Republic of)",2019,77.35,21.82,"66.3","15.7"
"136","CHN","China",2019,77.43,21.06,"68.5","15.9"
"137","THA","Thailand",2019,77.7,23.57,"68.3","18.0"
"138","CUB","Cuba",2019,77.76,21.59,"67.8","16.3"
"139","JOR","Jordan",2019,77.87,21.81,"67.6","16.2"
"140","ALB","Albania",2019,78,21.03,"69.1","16.6"
"141","SVK","Slovakia",2019,78.23,21.81,"68.5","16.6"
"142","POL","Poland",2019,78.27,22.13,"68.7","16.8"
"143","ECU","Ecuador",2019,78.45,23.2,"68.5","17.6"
"144","USA","United States of America",2019,78.5,23.13,"66.1","16.4"
"145","HRV","Croatia",2019,78.64,21.76,"68.6","16.2"
"146","TUR","Türkiye",2019,78.62,22.03,"68.4","16.6"
"147","EST","Estonia",2019,78.88,22.53,"69.2","17.3"
"148","CZE","Czechia",2019,79.13,22.07,"68.8","16.3"
"149","COL","Colombia",2019,79.31,23.96,"69.0","18.1"
"150","PAN","Panama",2019,79.29,24.26,"68.7","18.1"
"151","MDV","Maldives",2019,79.59,22.15,"70.0","16.8"
"152","PER","Peru",2019,79.9,24.38,"69.5","18.5"
"153","CHL","Chile",2019,80.74,24.27,"70.0","18.4"
"154","CRI","Costa Rica",2019,80.85,25.03,"70.0","18.7"
"155","KWT","Kuwait",2019,80.97,23.96,"70.1","17.8"
"156","GRC","Greece",2019,81.1,23.84,"70.9","18.4"
"157","DNK","Denmark",2019,81.32,23.59,"71.0","18.2"
"158","SVN","Slovenia",2019,81.31,23.82,"70.7","17.8"
"159","BEL","Belgium",2019,81.42,24.02,"70.6","18.2"
"160","GBR","United Kingdom of Great Britain and Northern Ireland",2019,81.4,24.13,"70.1","18.3"
"161","AUT","Austria",2019,81.65,24.09,"70.9","18.3"
"162","FIN","Finland",2019,81.61,24.16,"71.0","18.5"
"163","PRT","Portugal",2019,81.57,24.34,"71.0","18.6"
"164","DEU","Germany",2019,81.72,24.41,"70.9","18.5"
"165","IRL","Ireland",2019,81.84,24.19,"71.1","18.6"
"166","NLD","Netherlands (Kingdom of the)",2019,81.79,24.08,"71.4","18.4"
"167","MLT","Malta",2019,81.89,24.49,"71.5","18.9"
"168","NZL","New Zealand",2019,81.96,24.83,"70.2","18.6"
"169","CAN","Canada",2019,82.24,25.15,"71.3","19.0"
"170","ISL","Iceland",2019,82.33,24.64,"72.0","19.0"
"171","LUX","Luxembourg",2019,82.41,24.4,"71.6","18.5"
"172","SWE","Sweden",2019,82.4,24.5,"71.9","18.9"
"173","FRA","France",2019,82.48,25.34,"72.1","19.7"
"174","ISR","Israel",2019,82.62,24.9,"72.4","19.3"
"175","NOR","Norway",2019,82.62,24.66,"71.4","18.5"
"176","AUS","Australia",2019,83.04,25.62,"70.9","19.0"
"177","ITA","Italy",2019,82.97,25.04,"71.9","18.9"
"178","CYP","Cyprus",2019,83.14,24.92,"72.4","19.0"
"179","SGP","Singapore",2019,83.22,25.54,"73.6","20.0"
"180","ESP","Spain",2019,83.22,25.39,"72.1","19.2"
"181","KOR","Republic of Korea",2019,83.3,25.8,"73.1","19.8"
"182","CHE","Switzerland",2019,83.45,25.43,"72.5","19.5"
"183","JPN","Japan",2019,84.26,26.35,"74.1","20.4"
